model,response_length,key_phrase_count,similarity_score,score,meets_threshold
gemma2:27b,69,3,,28.8,True
gemma2:27b,54,3,,22.8,True
gemma2:27b,68,2,,28.000000000000004,True
gemma2:27b,87,1,,35.2,False
gemma2:27b,98,2,,40.0,True
gemma2:27b,102,3,,42.00000000000001,True
gemma2:27b,77,2,,31.6,True
gemma2:27b,52,3,,22.0,True
gemma2:27b,68,2,,28.000000000000004,True
gemma2:27b,41,3,,17.6,True
gemma2:27b,77,3,,32.0,True
gemma2:27b,73,3,,30.4,True
gemma2:27b,41,3,,17.6,True
gemma2:27b,42,3,,18.0,True
gemma2:27b,124,3,,50.8,True
gemma2:27b,75,2,,30.8,True
gemma2:27b,41,3,,17.6,True
gemma2:27b,57,3,,24.0,True
gemma2:27b,80,3,,33.2,True
gemma2:27b,75,3,,31.2,True
gemma2:27b,68,3,,28.4,True
gemma2:27b,70,3,,29.2,True
gemma2:27b,63,2,,26.000000000000004,True
gemma2:27b,41,2,,17.200000000000003,True
gemma2:27b,44,3,,18.8,True
gemma2:27b,75,2,,30.8,True
gemma2:27b,38,2,,16.0,True
gemma2:27b,87,2,,35.6,True
gemma2:27b,85,3,,35.2,True
gemma2:27b,79,3,,32.800000000000004,True
gemma2:27b,42,2,,17.6,True
gemma2:27b,33,3,,14.400000000000002,True
gemma2:27b,85,2,,34.8,True
gemma2:27b,99,2,,40.4,True
gemma2:27b,122,3,,50.00000000000001,True
gemma2:27b,38,3,,16.400000000000002,True
gemma2:27b,103,2,,42.0,True
gemma2:27b,132,3,,54.00000000000001,True
gemma2:27b,34,3,,14.8,True
gemma2:27b,63,1,,25.6,False
gemma2:27b,34,3,,14.8,True
gemma2:27b,37,3,,16.0,True
gemma2:27b,58,3,,24.4,True
gemma2:27b,52,3,,22.0,True
gemma2:27b,116,3,,47.60000000000001,True
gemma2:27b,106,3,,43.60000000000001,True
gemma2:27b,74,3,,30.8,True
gemma2:27b,72,2,,29.6,True
gemma2:27b,36,3,,15.6,True
gemma2:27b,98,3,,40.400000000000006,True
gemma2:27b,35,3,,15.2,True
gemma2:27b,44,3,,18.8,True
gemma2:27b,92,3,,38.00000000000001,True
gemma2:27b,79,2,,32.4,True
gemma2:27b,83,2,,34.0,True
gemma2:27b,85,3,,35.2,True
gemma2:27b,59,2,,24.4,True
gemma2:27b,60,1,,24.4,False
gemma2:27b,79,3,,32.800000000000004,True
gemma2:27b,54,1,,22.0,False
gemma2:27b,42,2,,17.6,True
gemma2:27b,40,3,,17.2,True
gemma2:27b,58,3,,24.4,True
gemma2:27b,61,2,,25.200000000000003,True
gemma2:27b,32,2,,13.6,True
gemma2:27b,51,2,,21.200000000000003,True
gemma2:27b,42,3,,18.0,True
gemma2:27b,73,3,,30.4,True
gemma2:27b,41,3,,17.6,True
gemma2:27b,73,2,,30.000000000000004,True
gemma2:27b,58,3,,24.4,True
gemma2:27b,82,3,,34.00000000000001,True
gemma2:27b,35,2,,14.8,True
gemma2:27b,46,3,,19.6,True
gemma2:27b,57,3,,24.0,True
gemma2:27b,28,3,,12.400000000000002,True
gemma2:27b,78,3,,32.400000000000006,True
gemma2:27b,51,3,,21.6,True
gemma2:27b,71,3,,29.6,True
gemma2:27b,77,2,,31.6,True
gemma2:27b,57,2,,23.6,True
gemma2:27b,36,3,,15.6,True
gemma2:27b,81,3,,33.6,True
gemma2:27b,68,2,,28.000000000000004,True
gemma2:27b,37,1,,15.2,False
gemma2:27b,73,3,,30.4,True
gemma2:27b,56,3,,23.6,True
gemma2:27b,64,3,,26.8,True
gemma2:27b,90,2,,36.8,True
gemma2:27b,76,3,,31.6,True
gemma2:27b,37,2,,15.6,True
gemma2:27b,81,2,,33.2,True
gemma2:27b,47,2,,19.6,True
gemma2:27b,61,3,,25.6,True
gemma2:27b,99,2,,40.4,True
gemma2:27b,102,3,,42.00000000000001,True
gemma2:27b,73,3,,30.4,True
gemma2:27b,52,3,,22.0,True
gemma2:27b,41,3,,17.6,True
gemma2:27b,55,3,,23.2,True
gemma2:27b,54,3,,22.8,True
gemma2:27b,56,3,,23.6,True
gemma2:27b,75,3,,31.2,True
gemma2:27b,38,3,,16.400000000000002,True
gemma2:27b,52,3,,22.0,True
gemma2:27b,49,3,,20.8,True
gemma2:27b,71,3,,29.6,True
gemma2:27b,30,3,,13.2,True
gemma2:27b,53,3,,22.4,True
gemma2:27b,62,3,,26.0,True
gemma2:27b,96,3,,39.60000000000001,True
gemma2:27b,95,3,,39.2,True
gemma2:27b,100,3,,41.2,True
gemma2:27b,127,3,,52.00000000000001,True
gemma2:27b,57,3,,24.0,True
gemma2:27b,65,3,,27.2,True
gemma2:27b,60,3,,25.2,True
gemma2:27b,111,3,,45.60000000000001,True
gemma2:27b,77,3,,32.0,True
gemma2:27b,42,3,,18.0,True
gemma2:27b,82,3,,34.00000000000001,True
gemma2:27b,47,3,,20.0,True
gemma2:27b,28,3,,12.400000000000002,True
gemma2:27b,29,3,,12.8,True
gemma2:27b,104,3,,42.8,True
gemma2:27b,108,3,,44.400000000000006,True
gemma2:27b,51,3,,21.6,True
gemma2:27b,142,3,,58.00000000000001,True
gemma2:27b,87,3,,36.00000000000001,True
gemma2:27b,62,3,,26.0,True
gemma2:27b,88,3,,36.400000000000006,True
gemma2:27b,46,3,,19.6,True
gemma2:27b,126,3,,51.60000000000001,True
gemma2:27b,97,3,,40.00000000000001,True
gemma2:27b,259,3,,104.8,True
gemma2:27b,40,3,,17.2,True
gemma2:27b,71,3,,29.6,True
gemma2:27b,86,3,,35.6,True
gemma2:27b,121,3,,49.60000000000001,True
gemma2:27b,124,3,,50.8,True
gemma2:27b,60,3,,25.2,True
gemma2:27b,57,3,,24.0,True
gemma2:27b,66,3,,27.6,True
gemma2:27b,143,3,,58.400000000000006,True
gemma2:27b,43,3,,18.4,True
gemma2:27b,47,3,,20.0,True
gemma2:27b,137,3,,56.00000000000001,True
gemma2:27b,46,3,,19.6,True
gemma2:27b,105,3,,43.2,True
gemma2:27b,52,3,,22.0,True
gemma2:27b,123,3,,50.400000000000006,True
gemma2:27b,32,3,,14.0,True
gemma2:27b,84,3,,34.800000000000004,True
gemma2:27b,88,3,,36.400000000000006,True
gemma2:27b,54,3,,22.8,True
gemma2:27b,40,3,,17.2,True
gemma2:27b,52,2,,21.6,True
gemma2:27b,37,3,,16.0,True
gemma2:27b,48,3,,20.4,True
gemma2:27b,53,3,,22.4,True
gemma2:27b,36,3,,15.6,True
gemma2:27b,136,3,,55.60000000000001,True
gemma2:27b,62,3,,26.0,True
gemma2:27b,63,3,,26.4,True
gemma2:27b,32,3,,14.0,True
gemma2:27b,118,3,,48.400000000000006,True
gemma2:27b,89,3,,36.8,True
gemma2:27b,146,3,,59.60000000000001,True
gemma2:27b,94,3,,38.8,True
gemma2:27b,87,3,,36.00000000000001,True
gemma2:27b,60,3,,25.2,True
gemma2:27b,52,3,,22.0,True
gemma2:27b,89,3,,36.8,True
gemma2:27b,48,3,,20.4,True
gemma2:27b,97,3,,40.00000000000001,True
gemma2:27b,37,3,,16.0,True
gemma2:27b,99,3,,40.8,True
gemma2:27b,51,3,,21.6,True
gemma2:27b,45,3,,19.2,True
gemma2:27b,81,3,,33.6,True
gemma2:27b,64,3,,26.8,True
gemma2:27b,47,3,,20.0,True
gemma2:27b,119,3,,48.8,True
gemma2:27b,90,3,,37.2,True
gemma2:27b,46,3,,19.6,True
gemma2:27b,64,3,,26.8,True
gemma2:27b,52,3,,22.0,True
gemma2:27b,86,3,,35.6,True
gemma2:27b,68,3,,28.4,True
gemma2:27b,131,3,,53.60000000000001,True
gemma2:27b,67,3,,28.0,True
gemma2:27b,67,3,,28.0,True
gemma2:27b,56,3,,23.6,True
gemma2:27b,76,3,,31.6,True
gemma2:27b,50,3,,21.2,True
gemma2:27b,136,3,,55.60000000000001,True
gemma2:27b,48,3,,20.4,True
gemma2:27b,78,3,,32.400000000000006,True
gemma2:27b,51,3,,21.6,True
gemma2:27b,53,3,,22.4,True
gemma2:27b,143,2,,58.0,True
gemma2:27b,108,3,,44.400000000000006,True
gemma2:27b,117,2,,47.6,True
gemma2:27b,59,3,,24.8,True
gemma2:27b,133,2,,54.0,True
gemma2:27b,86,2,,35.2,True
gemma2:27b,157,3,,64.0,True
gemma2:27b,79,3,,32.800000000000004,True
gemma2:27b,97,2,,39.6,True
gemma2:27b,96,3,,39.60000000000001,True
gemma2:27b,114,2,,46.4,True
gemma2:27b,134,3,,54.8,True
gemma2:27b,175,3,,71.2,True
gemma2:27b,112,3,,46.00000000000001,True
gemma2:27b,133,3,,54.400000000000006,True
gemma2:27b,130,3,,53.2,True
gemma2:27b,80,3,,33.2,True
gemma2:27b,117,3,,48.00000000000001,True
gemma2:27b,126,3,,51.60000000000001,True
gemma2:27b,82,3,,34.00000000000001,True
gemma2:27b,170,3,,69.2,True
gemma2:27b,159,3,,64.8,True
gemma2:27b,98,3,,40.400000000000006,True
gemma2:27b,129,2,,52.4,True
gemma2:27b,116,3,,47.60000000000001,True
gemma2:27b,164,3,,66.80000000000001,True
gemma2:27b,81,2,,33.2,True
gemma2:27b,133,2,,54.0,True
gemma2:27b,112,3,,46.00000000000001,True
gemma2:27b,95,3,,39.2,True
gemma2:27b,127,3,,52.00000000000001,True
gemma2:27b,81,3,,33.6,True
gemma2:27b,179,2,,72.4,True
gemma2:27b,129,2,,52.4,True
gemma2:27b,146,2,,59.2,True
gemma2:27b,97,3,,40.00000000000001,True
gemma2:27b,163,3,,66.4,True
gemma2:27b,158,3,,64.4,True
gemma2:27b,136,2,,55.2,True
gemma2:27b,158,3,,64.4,True
gemma2:27b,94,3,,38.8,True
gemma2:27b,96,3,,39.60000000000001,True
gemma2:27b,89,3,,36.8,True
gemma2:27b,90,2,,36.8,True
gemma2:27b,129,3,,52.8,True
gemma2:27b,109,3,,44.8,True
gemma2:27b,152,3,,62.00000000000001,True
gemma2:27b,150,3,,61.2,True
gemma2:27b,119,3,,48.8,True
gemma2:27b,111,3,,45.60000000000001,True
gemma2:27b,174,3,,70.80000000000001,True
gemma2:27b,51,3,,21.6,True
gemma2:27b,160,3,,65.2,True
gemma2:27b,132,3,,54.00000000000001,True
gemma2:27b,100,2,,40.8,True
gemma2:27b,131,3,,53.60000000000001,True
gemma2:27b,153,3,,62.400000000000006,True
gemma2:27b,94,2,,38.4,True
gemma2:27b,87,3,,36.00000000000001,True
gemma2:27b,102,3,,42.00000000000001,True
gemma2:27b,76,3,,31.6,True
gemma2:27b,139,3,,56.8,True
gemma2:27b,93,3,,38.400000000000006,True
gemma2:27b,136,2,,55.2,True
gemma2:27b,171,3,,69.60000000000001,True
gemma2:27b,129,3,,52.8,True
gemma2:27b,124,3,,50.8,True
gemma2:27b,74,2,,30.4,True
gemma2:27b,99,3,,40.8,True
gemma2:27b,55,3,,23.2,True
gemma2:27b,65,3,,27.2,True
gemma2:27b,117,3,,48.00000000000001,True
gemma2:27b,164,3,,66.80000000000001,True
gemma2:27b,142,3,,58.00000000000001,True
gemma2:27b,143,3,,58.400000000000006,True
gemma2:27b,55,3,,23.2,True
gemma2:27b,108,3,,44.400000000000006,True
gemma2:27b,83,3,,34.400000000000006,True
gemma2:27b,121,3,,49.60000000000001,True
gemma2:27b,113,2,,46.0,True
gemma2:27b,98,2,,40.0,True
gemma2:27b,103,3,,42.400000000000006,True
gemma2:27b,142,2,,57.6,True
gemma2:27b,79,3,,32.800000000000004,True
gemma2:27b,116,3,,47.60000000000001,True
gemma2:27b,120,3,,49.2,True
gemma2:27b,83,3,,34.400000000000006,True
gemma2:27b,102,3,,42.00000000000001,True
gemma2:27b,131,3,,53.60000000000001,True
gemma2:27b,129,3,,52.8,True
gemma2:27b,96,3,,39.60000000000001,True
gemma2:27b,126,3,,51.60000000000001,True
gemma2:27b,157,3,,64.0,True
gemma2:27b,161,3,,65.60000000000001,True
gemma2:27b,111,3,,45.60000000000001,True
gemma2:27b,170,3,,69.2,True
gemma2:27b,110,3,,45.2,True
gemma2:27b,101,3,,41.60000000000001,True
gemma2:27b,106,2,,43.2,True
gemma2:27b,122,2,,49.6,True
codellama:latest,143,3,,58.400000000000006,True
codellama:latest,86,2,,35.2,True
codellama:latest,73,1,,29.6,False
codellama:latest,121,1,,48.8,False
codellama:latest,118,1,,47.6,False
codellama:latest,228,1,,91.6,False
codellama:latest,68,1,,27.6,False
codellama:latest,59,3,,24.8,True
codellama:latest,67,3,,28.0,True
codellama:latest,40,3,,17.2,True
codellama:latest,77,1,,31.2,False
codellama:latest,138,2,,56.0,True
codellama:latest,109,3,,44.8,True
codellama:latest,96,1,,38.8,False
codellama:latest,76,2,,31.200000000000003,True
codellama:latest,136,1,,54.8,False
codellama:latest,137,3,,56.00000000000001,True
codellama:latest,68,2,,28.000000000000004,True
codellama:latest,75,1,,30.4,False
codellama:latest,61,3,,25.6,True
codellama:latest,73,1,,29.6,False
codellama:latest,107,1,,43.2,False
codellama:latest,64,1,,26.0,False
codellama:latest,72,1,,29.2,False
codellama:latest,221,1,,88.80000000000001,False
codellama:latest,62,1,,25.2,False
codellama:latest,105,3,,43.2,True
codellama:latest,66,2,,27.200000000000003,True
codellama:latest,57,1,,23.2,False
codellama:latest,79,1,,32.0,False
codellama:latest,43,1,,17.599999999999998,False
codellama:latest,38,3,,16.400000000000002,True
codellama:latest,211,1,,84.80000000000001,False
codellama:latest,105,3,,43.2,True
codellama:latest,122,1,,49.2,False
codellama:latest,183,1,,73.60000000000001,False
codellama:latest,176,1,,70.80000000000001,False
codellama:latest,177,2,,71.6,True
codellama:latest,56,2,,23.200000000000003,True
codellama:latest,101,2,,41.2,True
codellama:latest,53,2,,22.000000000000004,True
codellama:latest,58,3,,24.4,True
codellama:latest,94,1,,38.0,False
codellama:latest,160,1,,64.4,False
codellama:latest,118,1,,47.6,False
codellama:latest,120,1,,48.4,False
codellama:latest,60,1,,24.4,False
codellama:latest,141,1,,56.8,False
codellama:latest,78,2,,32.0,True
codellama:latest,193,1,,77.60000000000001,False
codellama:latest,129,1,,52.0,False
codellama:latest,198,1,,79.60000000000001,False
codellama:latest,145,2,,58.8,True
codellama:latest,76,2,,31.200000000000003,True
codellama:latest,125,1,,50.4,False
codellama:latest,137,1,,55.2,False
codellama:latest,107,1,,43.2,False
codellama:latest,66,2,,27.200000000000003,True
codellama:latest,138,1,,55.6,False
codellama:latest,156,2,,63.2,True
codellama:latest,65,3,,27.2,True
codellama:latest,116,1,,46.8,False
codellama:latest,81,3,,33.6,True
codellama:latest,77,3,,32.0,True
codellama:latest,37,2,,15.6,True
codellama:latest,53,2,,22.000000000000004,True
codellama:latest,34,3,,14.8,True
codellama:latest,87,1,,35.2,False
codellama:latest,37,3,,16.0,True
codellama:latest,44,1,,18.0,False
codellama:latest,118,2,,48.0,True
codellama:latest,47,1,,19.2,False
codellama:latest,82,1,,33.2,False
codellama:latest,147,1,,59.2,False
codellama:latest,43,3,,18.4,True
codellama:latest,81,1,,32.8,False
codellama:latest,75,1,,30.4,False
codellama:latest,50,2,,20.8,True
codellama:latest,145,1,,58.4,False
codellama:latest,44,1,,18.0,False
codellama:latest,128,1,,51.6,False
codellama:latest,217,2,,87.60000000000001,True
codellama:latest,96,1,,38.8,False
codellama:latest,47,2,,19.6,True
codellama:latest,79,3,,32.800000000000004,True
codellama:latest,47,2,,19.6,True
codellama:latest,146,1,,58.8,False
codellama:latest,72,2,,29.6,True
codellama:latest,54,3,,22.8,True
codellama:latest,118,1,,47.6,False
codellama:latest,46,3,,19.6,True
codellama:latest,107,1,,43.2,False
codellama:latest,132,2,,53.6,True
codellama:latest,191,1,,76.80000000000001,False
codellama:latest,166,2,,67.2,True
codellama:latest,100,1,,40.4,False
codellama:latest,89,1,,36.0,False
codellama:latest,51,2,,21.200000000000003,True
codellama:latest,46,3,,19.6,True
codellama:latest,209,3,,84.80000000000001,True
codellama:latest,193,3,,78.4,True
codellama:latest,93,3,,38.400000000000006,True
codellama:latest,48,3,,20.4,True
codellama:latest,133,3,,54.400000000000006,True
codellama:latest,41,3,,17.6,True
codellama:latest,89,3,,36.8,True
codellama:latest,38,3,,16.400000000000002,True
codellama:latest,126,3,,51.60000000000001,True
codellama:latest,43,3,,18.4,True
codellama:latest,76,3,,31.6,True
codellama:latest,50,3,,21.2,True
codellama:latest,35,3,,15.2,True
codellama:latest,428,3,,172.4,True
codellama:latest,107,3,,44.00000000000001,True
codellama:latest,102,2,,41.6,True
codellama:latest,28,3,,12.400000000000002,True
codellama:latest,107,3,,44.00000000000001,True
codellama:latest,28,3,,12.400000000000002,True
codellama:latest,83,3,,34.400000000000006,True
codellama:latest,131,3,,53.60000000000001,True
codellama:latest,76,2,,31.200000000000003,True
codellama:latest,130,3,,53.2,True
codellama:latest,73,3,,30.4,True
codellama:latest,83,3,,34.400000000000006,True
codellama:latest,101,2,,41.2,True
codellama:latest,95,2,,38.8,True
codellama:latest,36,3,,15.6,True
codellama:latest,161,3,,65.60000000000001,True
codellama:latest,39,3,,16.8,True
codellama:latest,86,3,,35.6,True
codellama:latest,34,3,,14.8,True
codellama:latest,74,3,,30.8,True
codellama:latest,190,3,,77.2,True
codellama:latest,256,3,,103.6,True
codellama:latest,51,3,,21.6,True
codellama:latest,183,3,,74.4,True
codellama:latest,87,3,,36.00000000000001,True
codellama:latest,55,2,,22.8,True
codellama:latest,79,3,,32.800000000000004,True
codellama:latest,42,3,,18.0,True
codellama:latest,116,3,,47.60000000000001,True
codellama:latest,117,3,,48.00000000000001,True
codellama:latest,94,2,,38.4,True
codellama:latest,44,3,,18.8,True
codellama:latest,177,3,,72.0,True
codellama:latest,122,3,,50.00000000000001,True
codellama:latest,113,3,,46.400000000000006,True
codellama:latest,154,3,,62.8,True
codellama:latest,49,3,,20.8,True
codellama:latest,73,2,,30.000000000000004,True
codellama:latest,81,2,,33.2,True
codellama:latest,60,3,,25.2,True
codellama:latest,73,3,,30.4,True
codellama:latest,233,3,,94.4,True
codellama:latest,74,2,,30.4,True
codellama:latest,145,3,,59.2,True
codellama:latest,89,3,,36.8,True
codellama:latest,37,3,,16.0,True
codellama:latest,37,3,,16.0,True
