SL,Data,App,Type,USER_STORIES
91,"Great app, means this huawei is trying best to keep customer satisfied, every week they are updating 3 to 6 watch faces means it's awesome ❤️. I really love the way they are making beautiful watch faces and i hope that huawei will continue updating watch faces and new features",Huawei Health,feature_request,
92,app keeps crashing! i have a Samsung Galaxy S10 with the latest SW update (G973U1UEU1ASD8) please fix this and I'll edit this review to 5 stars,Garmin Connect,problem_report,"As a Garmin Connect User, I want the app to work on Samsung Galaxy S10 so that I can use the app."
93,would like to see an upgrade on the iQ apps. I use a lot for biking. don't like the fact that it doesn't stop the clock when I stop at a light,Garmin Connect,feature_request,"As a Garmin Connect User, I want the countdown to stop when I stop at a traffic signal  during by-cycling."
94,The stupidest app there is even when ur lying on bed shaking the phone or in a moving car the pedometer keeps counting steps.... Total bullshit,Samsung Health,problem_report,"As a Samsung Health End User,  I want the app to be more accurate in calculating steps during activities so that I can see actual data, not made up data."
95,Why does it not work on the Xiaomi MI4 phone? Seems strange that on a new phone it would not work. Does the phone software just need to be updated??,Garmin Connect,problem_report,"As a Garmin Connect User, I want the app to work on Xiaomi MI4 so that I can use the app on the device."
96,Every time crashing inspite of continuous updates and even reinstalled many times... please let me know via email how can i contact you.? Called on the number but the call center couldn't help.,Samsung Health,problem_report,
97,One more update. Find a way to give steps for cyclists. There's no way people do hundreds of thousands of steps everyday. It seems dishonest that I don't want to be part of it.. uninstalling..btw the GPS seems to be working fine now.,Samsung Health,problem_report,
98,"I used to love this app.. now it dosent even work properly. It dosent even count my steps sometime.. really frustrating, also weight management feature is no longer there with the new update.. pointless having this app anymore..",Samsung Health,problem_report,
99,Horrible app. Doesn't count the steps & the distance in minutes properly at  all. Very very bad app. Needs immediate rectification.,Huawei Health,problem_report,"As a Huawei Health End User,  I want the app to be more accurate in calculating steps and distance during activities so that I can see actual data, not made up data."
100,I have a bug. I connected the application to MyFitnessPal. After  synchronisation I have a few hundred thousands of calories burnt in  MyFitnessPal.,Huawei Health,problem_report,
101,"Since the last update, it is spotty on when it wants to work... I used to love it. I can't even track my food anymore.",Garmin Connect,problem_report,As a Garmin user I want to get the latest update of the app so that I can track my food activity or use other features without any problem after any new update.
102,"App now crashes upon startup. Worked great for a couple years, but now it won't even open. Support won't help with the issue.",Garmin Connect,problem_report,As a Garmin user I want proper tech support so that I can take help to use the app.
103,It keeps getting stuck at the steps screen for me. Keeps loading forever and hangs :( the rest of the app works fine though..,Samsung Health,problem_report,As a S-Health user I want to use step feature without any stuck so that I can track my steps.
104,Great application to view your statistics at a glance collected when actively utilizing your Garmin devices. The only occasional problem is with location and data fetching for weather however it might be due to my location itself.,Garmin Connect,problem_report,As a Garmin user I want the accourate location wise weather data sync so that I can understand my statistics data related to weather
105,Improve ur app man and add some more features to smartwatch ui it getting boring add camera shutter and voice assistant and add feature to stop continues heart rate monitor change navigation animation and add drink water reminder etc,Huawei Health,feature_request,"As a H-Health user I want use camera shutter feature by voice assistant so that I can use camera from smartwatch app

As a H-Health user I want to on/off feature into the heart rate monitor feature so that I can control the feature.

As a H-Health user I want to drink water feature so that I can remind drinking water time."
106,Update: latest update of galaxy a5 did the trick- pairing reenabled. Wish Garmin had communicated the android issues in the play store! 2 months without basis functionality!   Original review: Unable to pair galaxy a5 2017,Garmin Connect,problem_report,As a Garmin user I want to pair my galaxy a5 device with the app so that I can use the app properly.
107,"Notifications does not work with Huawei P20. One day works, after does not. P.S battery optimisations etc things of course are disabled for this app. :-( Hard reset of the phone, OS upgrades, app reinstall, repairing does not help, next day same issue.",Garmin Connect,problem_report,As a Garmin user I want to get the notification feature using my Huawei P20 so that I can use the app properly.
108,Since the last update my watch does not want to connect to the app! And cannot update anything! Iv got a Garmin F3nix,Garmin Connect,problem_report,As a Garmin F3nix user I want to connect to the app after last update of my watch so that I can update my existing data.
109,Definitely like the older version. With this one there is no longer an option to measure pulse and O2 level(Stress) using the phone. Please bring that back.,Samsung Health,feature_request,As a S-Health User I want the feature compatibility when new version is there so I that I can use pule ans O2 level using my phone.
110,"App was working fine, until new update. The app is now not recognizing the device. Coming up with error when trying to sync it.",Garmin Connect,problem_report,As a Garmin user I want to see that app can recognize my device so that I can use the updated software 
111,step count is not correct but it was never a issue for me if it is 2 - 4% but in running its sarting with 10 to 15 % less secount while running scren geting off as normal app which is irritating.,Huawei Health,problem_report,"As a H-Health user I want correct steps and running count so that I can check the progress.

As a H-Health user I want screen on/off options during use the running feature so that I can check the progress."
112,Tha app ALWAYS crashes and drains the battery. It take forever to sync up right with my Samsung watch. It will sync but the data won't match! So I have to do EVERYTHING twice????????,Samsung Health,problem_report,"As a S-Health user I want to sync with my samsung watch with proper data so that I can use the app properly 

As a S-Health user I want to know the data sync time with my samsung watch so that I can understand the required time to wait.

As a S-Health user I want to sync my samsung watch in single try not multiple time sync.

As a S-Health user I want optimised app which does not drain my device battery so that I can use the app properly."
113,"I loved this for over 2 years, then it began to stop, not function properly, shut off, etc. I uninstalled it the reinstalled it, but it no longer announced my data at each mile. It was silent. Frustrating.",Samsung Health,problem_report,As a S-Health user I want to know get proper notification so that I can understand why the app is not running
114,"bad, had to reinstall after repeatedly crashing, now won't pair with my watch, even after updating watch (from laptop) and app. I don't have time for this, this watch cost a fortune",Garmin Connect,problem_report,
115,Worked perfectly with an x40 before the latest update. After the update it just doesn't sync golf scorecards which end up getting lost. Happened twice now. Just went back to the previous version and worked perfectly. Needs another update.,Garmin Connect,problem_report,As a Garmin user I want roll back previous stable version so that I can use the app.
116,"Excellent app, it help me to lose weight and encourages me to live a healthy life, although it's a pity it can't pair with mi band directly, I wish it could😔",Samsung Health,feature_request,As a S-Health user I want to MI band support so that I can use the app with MI watch
117,Used my vivofit for over a year and app worked just fine but now since recent updates I can no longer synch my vivofit to any of my mobile devices.  If this continues I will move on to another brand of fitness tracker.,Garmin Connect,problem_report,As a Garmin user I want to use my existing vivofit after any new update
118,"Weird. Was working perfectly, then on version 511, syncing w Honor Band 5 always stops ard 78%. Naps gets synced, but sleeps don't. The band does show sleep detected.",Huawei Health,problem_report,As a H-Health user I want roll back previous stable version so that I can use the app with all funtional features.
119,"I have enjoyed my watch and the app for a year, until the recent app update. The latest version doesn't connect my watch (Forerunner 35) to my phone (Nokia 5.1). I have tried all troubleshooting suggestions and nothing helps.",Garmin Connect,problem_report,As a Garmin user I want to use my existing watch after any new update
120,Really want to use the app how ever it won't let me sign in. I've reset my phone. Cleared my cache deleted and re added the app and still won't allow me to log on,Samsung Health,problem_report,As a user I want to signup in S-Health app so that I can use the app
121,"Loved this app but not giving it permission to MAKE and MANAGE calls on my phone. If it’s not to make and manage, then you need to edit the way it is worded when you want me to agree.",Samsung Health,feature_request,As a S-Health user I want user friendly access permission feature so that I can manage call feature from my watch
122,This app is reports data from my fitness pal incorrectly. Completely different weight shown for yesterday days entry in my fitness.  Very disappointed!,Garmin Connect,problem_report,As a Garmin user I want correct and stable data sync with my fitness pal so that I can measure the progress
123,Step tracker is no longer accurate. It said I took 600 steps the whole hour I was walking. I'm pretty sure I took more than 600 steps if i was walking for over an hour and I had my phone in my hand the whole time.,Samsung Health,problem_report,As a S-Health user I want correct step tracker data so that I can measure my target accordingly 
124,"The step count is inaccurate. Please fix. Make it more sensitive to movement, because if I don't strap it to my leg or  arm the step count is too low...",Huawei Health,problem_report,As a H-Health user I want correct step tracker data so that I can measure my target accordingly 
125,This app is very much bad app. Because before i am running app is saying 5 kcal burned you and i am running fast but app is saying your average speed is 3 kilometers per hour🤬.,Samsung Health,problem_report,As a S-Health user I want correct step tracker data so that I can measure my target (calori burn) accordingly 
126,"As of version 4.42 I can no longer sync activities from my Garmin 810 to my Samsung galaxy android via Bluetooth. Up until April 28, 2021 it was working ok",Garmin Connect,problem_report,As a Garmin user I want to use my existing devices after any new update
127,All YouTube videos talk about a large watch face library in the app for the fit... I do not even have watch faces in the app at all... I'm using a brand new fit watch and the latest app and firmware... Very disapointing,Huawei Health,problem_report,
128,Does not work unless installed on a Huawei phone. Tech supports suggests side loading rather than fixing their own stupid app.,Huawei Health,problem_report,
129,Getting error on start . Hauwai health services 4.0.0 required which is not available on play store.. I am using Samsung galaxy s10,Huawei Health,feature_request,
130,It's a nice app.. can be improved by making it work in standalone mode also.. i.e without internet connection and upload data when internet is available,Garmin Connect,feature_request,As a Garmin user I want offline sync feature so that I can sync my existing device with out internet
131,Works fine. Only thing is it records my time WORKING at my desk as a nap!!!!!! I am not napping.... You should be able to edit/delete these if wanted.,Huawei Health,feature_request,As a H-Health user I want correct step tracker data so that I can measure my target accordingly 
132,"Why am I still getting notifications from this app when I have them all turned off from within the app? Thankfully I have Oreo, so I can have Android block them anyway.",Samsung Health,problem_report,As a S-Health user I want to turn off notification from the app so that I can manage my phone notification services accordingly 
133,"Basic functionality as an exercise tracker.. Wish you can label exercises because after a while, you can't remember where you got that workout. Excellent sleep tracking.",Huawei Health,feature_request,As a H-Health user I want dynamic excercise feature management feature so that I can manage myself
134,Can't and wil not use this app anymore. I do not like the idea of allowing an app make phone calls change settings and alike.,Samsung Health,feature_request,As a S-Health user I do not want to give default phone call permission to the app so that I can protect my privecy 
135,"If you want people to use the app frequently,  you need Widgets. Food and drink widgets! Heart rate widget! These will help remind people to use it. I need it in my face to do any good.",Samsung Health,feature_request,As a S-Health user I want widget feature so that I can use the desire feature frequently
136,I just wish there was a pregnancy mode. Where it helps you with safer goals. Maybe a weightloss goal safe for pregnant women?,Samsung Health,feature_request,As a S-Health user I want categorise weight loss feature so that I can use during my pregnancy
137,"Can't pair a honor 4 because it doesn't appear in the list of devices and it couldn't update the list either, it indicates I have to check my network?",Huawei Health,problem_report,
138,"Since update no forerunner sync with phone, tried all the recommended actions, no can't even upload via wifi as watch not linked with app. GARMIN PLEASE FIX ASAP",Garmin Connect,problem_report,
139,"I reinstall this app and all of my records , sleep data gone🤦🏻‍♂️ this app is not sync with huawei claud which my health data stored. I logged out and re loggged in but does not affect huawei health app. shittt",Huawei Health,problem_report,As a H-Health user I want to sync data from cloud properly so that I can use my existing data
140,"Food tab is missing a barcode scanner for quick searching macronutrients, needs to add a target macro editing for Fats, Protein & Carbs",Samsung Health,feature_request,"As a S-Health user I want barcode scanner so that I can do quick search.

As a S-Health user I want editing feature in macronutrients so that I can edit fats, protein & carbs"
141,Stop asking for notfication access every single time I sync the tracker with my phone. I don't want to give the app notification access and you guys should respect that...,Garmin Connect,feature_request,As a Garmin user I do not want to give permission to access my notification service so that I manage accordingly
142,"Kindly check after the latest updates app forcing to install Hauwai appgallery, and even after the latest install its happening to show same error, kindly fix it",Huawei Health,problem_report,As a H-Health user I want to use appgallery feature without error
143,"I have changed my mobile phone, to redmi note10, now my cycling could not be tracked by this app. I'm using Huawei band 2. No response from Huawei Health team today is 19 Feb. 2022",Huawei Health,problem_report,As a H-Health user I want to use cycling feature with remi note 10 and Huawei band 2
144,I really like Garmin it has a lot of cool training options but I keep trying to pair it on my phone with the app but for some reason it won't let me connect. I've been trying to work on it for an hour and it won't work...,Garmin Connect,problem_report,
145,The heart rate monitor needs to be updated to allow when you want it measuring. Say every 20 mins. Individual incramemts Instead of constant.,Huawei Health,feature_request,As a H-Health user I want to set the heart rate monitoring time dynamically by myself so that it does not measure constantly 
146,I really hate this app. I donot want this app in My phone. Simply wasting  memory and ram speed. Samsung phone and by default app. This is not good.  Hate this lot.,Samsung Health,feature_request,
147,latest update stopped app syncing with endomondo!! only just got the app to sync with my watch again. please sort this app out,Garmin Connect,problem_report,As a Garmin user I want to syncing with endomondo properly after any lated update so that I can use my existing data
148,Hello. Auto pause is active in the settings but unfortunately when i stop cicling the time counter didn't stop. And i have to pause manually. This is boring.,Huawei Health,problem_report,As a H-Health user I want working auto pause activation feature so that I do not need to do it manually after stopping cycling
149,Sleep and sleep score don't recalculate properly when I update the actual sleep hours. Makes sleep and the body battery functions useless. Debating going back to fitbit ecosystem.,Garmin Connect,problem_report,As a Garmin user I want correct calculated sleeping data so that I do not need to recheck the actual sleeping hours
150,I had a galaxy s5 and this app tracked my steps extremely well. I have since replaced it with a galaxy s6 edge and the app is no longer sensitive enough to capture my true count with this phone . Please fix!,Samsung Health,problem_report,As a H-Health user I want correct steps calculation using my galaxy s6 edge so that I track my steps
151,"I actually think this app is great, and it's been working well. **Until yesterday** when it updated and caused my phone to freeze & crash,  even though I wasn't using Connect. I've had to uninstall it.  Please fix this issue and I'll be back",Garmin Connect,problem_report,
152,Nice interface (Version 8.0.2.317 wearBeta) but it does not record your heart rate. Already tried refresh the page and test for a week still show No Data Found. Please fix this problem.,Huawei Health,problem_report,
153,"I have used this app since 2017. Since the recent update, have more problems synching from the Fit. I have read many complaints recently and applied samsung response to correct .""""Nothing Worked"" Today, your rating has tanked to a 1 star from a 5 .",Samsung Health,problem_report,
154,Its not intelligent to gain or track record..always need to start and should be checking every time if it is running or tracking. all of sudden it stops and you spend time to track this app instead of app to track you,Samsung Health,problem_report,
155,"They ask too much permissions that too mandatory.. Govt of india is correct in banning othere chinese apps. Why you need phone, call, location and so much ser use data analytics that too not optional ?",Huawei Health,feature_request,
156,"the app don't pair with my forerunner 35 on Huawei P8 lite 2017 and android 7 whereas the previous version did, very frustrating?",Garmin Connect,problem_report,
157,Good app. But it would be nice if I can choose my own totals in Actvities > Cycling > Totals... etc. Total climb instead of calories or distance. Thank you.,Garmin Connect,feature_request,
158,There is an issue with the maps since the latest update. Please fix and I am happily giving 5 stars again,Garmin Connect,problem_report,
159,Too many updates and too difficult to navigate to basic stats. Garmin software developers are missing the mark. Provide a lite-version without so many unwanted features or allow more customization to remove all the surplfuous junk. No longer updates after sync up. This occurs even after rebooting forerunner & phone.,Garmin Connect,feature_request,
160,When incoming call arrives on my band it displays half number instead of full number (honor band 6). Please update as soon as possible and if i turn off location band automatically got disconnected.,Huawei Health,problem_report,
161,"I just bought an Active 2 watch and found out calorie counting was removed. Will be returning the watch. I called the number referenced in responses from the developer, who let me know that calorie count won't be coming back anytime soon.",Samsung Health,feature_request,
162,I've only been able to get it to sync twice with my Samsung Tab 4.  Sent message to Support and they answered with a million questions that I had no idea what they were talking about and it took them 2 weeks to send me that!  Pretty useless app!,Garmin Connect,problem_report,
163,"Whatever update came through had permanently disconnected my vivoactive 3 . Irritating. Uninstalled app and reinstalled it, reset to watch to factory settings. Thanks for making my not so cheap watch useless.",Garmin Connect,problem_report,
164,The only fault i have seen so far is the lack of steps being shown during a timed or set walk or run.,Garmin Connect,problem_report,
165,Aftsr latest update gt2 doesnt connect to internet. Cannot show weather data and cant check for update... Also cant change watch faces. Also probkems in help page... Simply notngood,Huawei Health,feature_request,
166,"Just keeps getting worse. The last update deleted the option for blood O2. So you pay for such an expensive phone with features, then they ""steal"" them from you :-(",Samsung Health,feature_request,
167,So Bad app I can't receive notification well and can't download apps on my watch and the app closes in the background so useless app,Huawei Health,problem_report,
168,I'm so frustrating!!! Why would you remove the weight management feature ? This is the most features of this app! I hope you add this feature in the next update!,Samsung Health,feature_request,
169,Requires phone number for health account?! Trash.. gps for weather.. garbage. why dont you ask for a bank account credentials right away.,Huawei Health,feature_request,
170,If u can fix the issues with huawei phones then i would give u 5 star but im really frustrated and annoyed by this problem which leads to my vivoactive hr being practically useless,Garmin Connect,problem_report,
171,This app is fantastic. Syncs with galaxy watch. Would also be great if there was an option to track medication on the app as well that syncs with the watch.,Samsung Health,feature_request,
172,App removed. As i reject the conditions of their required permission to  access phone and much others before using app.. idiots. I must see and  review app details before giving any access or permissions. Need a  professional and wise app management to gain users' trust,Huawei Health,feature_request,
173,It works great.  But mine loses connection all the time and won't ever connect back unless I unpair and pair back which takes forever.,Garmin Connect,problem_report,
174,Cannot disable heart monitor. Before i had difficulty switching the continuous heart rate monitor on. Now it does not allow me to disable it... When will the saga end...,Huawei Health,feature_request,
175,"Can't seem to set age and weight, every time I set it correctly it changes to some random number. It also seems to disconnect from the watch quite regularly. It has great potential to be great but it's just lacking at the moment.",Huawei Health,problem_report,
176,"The app is one of the best trackers out there on the market. My only complaint is the smart scale options. I understand manually entering someone's weight but need the option to manually input body fat, skeletal muscle mass, bone mass, and body water.",Garmin Connect,feature_request,
177,"Not always do I take my phone, I wish the app still allowed us to put ours steps in from our other devices not supported.",Samsung Health,feature_request,
178,"Before the update was the best app,  i don't have every day steps counting and nothing that i have interes.  if you don't is fix it , im gone uninstall the app",Samsung Health,problem_report,
179,Be nice if it stored data online somewhere or had an option to export data or transfer it from one phone to another. Otherwise this app does exactly what it is supposed to do with my watch. The watch's sleep-tracking has always been super impressive to me.,Huawei Health,feature_request,
180,I can't get my garmin to link to my fitness pal. Every time I try to hook it up so my step are linked it doesn't work,Garmin Connect,problem_report,
181,Not connecting with my Poco F1 phone. It's showing that I need to update the App. But it is already updated. And why I should go to update the app from Hawaii App store. 🤷 Why there is no any update in Google Play store.,Huawei Health,problem_report,
182,Not able to connect my poco phone with magic watch... Connectivity fails every team. Device is paired but but health app keepa reconnecting. Poor product,Huawei Health,problem_report,
183,You guys screwed the app... Not able to open after recent update... Asking to update from Huawei app store so funny...,Huawei Health,problem_report,
184,Just synced my Vivofit and it killed my display on it.  Doesn't respond at all now. Was working perfectly until then.,Garmin Connect,problem_report,
185,"Horrible- continually crashes, sync takes forever, sleep section rarely works.... I'm very disappointed in this app after spending five hundred on the garmin watch. Frustrating to say the least 😑",Garmin Connect,problem_report,
186,"As an activity tracker it's fine, unfortunately it will not automatically sync and useless as a smart watch as notifications don't work.",Garmin Connect,problem_report,
187,Fails to show proper steps. It combines the step count of both phone as well as the band. The step count gets doubled. Why they can't fix such a small bug. It's quite frustrating.😡😡😡,Huawei Health,problem_report,
188,I am unable to connect my huawei band 7. The app does not show the band at all. Tell me what to do now.,Huawei Health,problem_report,
189,"Was an ok ap until the last update. No it's constantly loosing connection. Also won't let me purchase new watch faces. Frustrating. New update today, now it just hangs on the start up screen. Reducing my rating",Huawei Health,problem_report,
190,Indian dishes and food items are less in number which make food tracking very difficult. Indian foods should be added,Samsung Health,feature_request,
191,Pairs first time.. then nothing. Cant find device the next day. Thought it was my vivofit so went and exchanged it... same thing this morning. Everytime you log on you have 2 start from the beginning rather then saving the connection! What a waste of money buying this device,Garmin Connect,problem_report,
192,I have a honor band 4. Sleep data sync has stopped working since june 28. I updated the app but it doesn't help. This had happened once again in the past but then updating the app solved the problem.,Huawei Health,problem_report,
193,I'd like to see steps added to my workout -----and show step total for Elliptical workout (though they do get added to the daily total.),Garmin Connect,feature_request,
194,I'd love it but I can't track my heart rate and my stress levels on my Samsung a5 but my boyfriend can on he's s5 😢,Samsung Health,problem_report,
195,"Since last update cannot pair my Samsung A620e to my Samsung galaxy watch active to this app, therefore unable to traxk anything at all.",Samsung Health,problem_report,
196,an app where i have to keep reinstalling since my honor band 4 keeps disappearing. hassle. fix that bug already. make this app great again,Huawei Health,problem_report,
197,After thr latest update I can't access the app. It doesn't sync with Google fit app either.. I have bought an expensive huawei smart watch which is just a digital watch for me.. Dear huawei please fix the bug. Disappointing for a big company like huawei to do such things.,Huawei Health,feature_request,
198,"Love the app. It does more than I ever expected and seems to be getting better. The only issue I have ever had with this app is the occasional ""bug"" when they push out a new upgrade.",Garmin Connect,problem_report,
199,Love this app and all the features. It works great since my phone comes with it. My only complaint is that I wish there was a widget for the food tracker I need the app. The only widget they have available is for counting steps.,Samsung Health,feature_request,
200,This app is 2 years out of date. The actual latest version has to be downloaded directly from Huaweis website,Huawei Health,feature_request,